name;urls;description
10% Happier: Meditation for Fidgety Skeptics;http://10percenthappier.com, https://twitter.com/@10percent, http://crunchbase.com/organization/change-collective;Mobile course platform for behavior change, powered by the advice of world-class experts.
14bis Supply Tracking;http://14bis.aero, https://twitter.com/@14bisAero, http://crunchbase.com/organization/safeflights-inc;We ensure interconnectivity of databases to track things.
1lens;http://1lens.app, https://twitter.com/@TogglAR, http://crunchbase.com/organization/1lens;Toggl's vision is to immerse people in awe-inspiring magical worlds anywhere they want them through augmented reality.
1sm;http://1sm.io, https://twitter.com/@1smHQ, http://crunchbase.com/organization/1sm;1sm is a Real-Time Sales & Marketing Analytics Platform, purpose-built for B2B revenue generating teams to collaborate and scale, with data at its core.
2E1BLAB;http://aircassie.com;
2ndKitchen;http://2ndkitchen.com, https://twitter.com/@2ndKitchen, http://crunchbase.com/organization/2ndkitchen;2ndKitchen enables businesses without a kitchen to serve food seamlessly using a custom menu from nearby restaurants.
2NDNATURE;http://2ndnaturewater.com, https://twitter.com/@2ndnaturewater, http://crunchbase.com/organization/2ndnature;2NDNATURE builds enterprise cloud stormwater compliance and management software to inform clean water.
2ULaundry;http://2ulaundry.com, https://twitter.com/@2ulaundry, http://crunchbase.com/organization/2u-laundry;2ULaundry is a valet laundry and dry cleaning service on a mission to deliver more free time for the things that matter most.
31Third Protocol;http://31third.com, https://twitter.com/@31ThirdProtocol, http://crunchbase.com/organization/31third;Decentralized asset management infrastructure radically optimizing trade execution and portfolio management in DeFi.
3chron;http://3chron.com, http://crunchbase.com/organization/3chron;3chron makes video conferencing more like a real-life conversation
3co;http://3co.ai, https://twitter.com/@3coAI, http://crunchbase.com/organization/3co;3co provides the world's simplest solution for selling beautiful products through augmented reality.
3DIMO;http://3d-imo.com, https://twitter.com/@3d_imo, http://crunchbase.com/organization/3dimo;A community-based investment marketplace that facilitates investment into special livestock and crops and produces returns from sale of their produce.
42Maru;http://42maru.ai, https://twitter.com/@42MARU_ai, http://crunchbase.com/organization/42maru;Answering AI - 42Maru is AI deep tech startup that develops Deep Semantic QA (Question Answering) & TA (Text Analytics) Platform
4Degrees;http://4degrees.ai, https://twitter.com/@4degreesai, http://crunchbase.com/organization/4degrees;We layer algorithms on top of email, calendar, and other professional data sources to help you manage your most important asset - your relationships.
555 Comic;http://fromeveryst.com, https://twitter.com/@crc_luna, http://crunchbase.com/organization/555-comic;Some might call what we make virtual influencers, we call them virtual characters. Social media first characters sharing soundtrack worthy episodic story arcs.
71lbs;http://71lbs.com, https://twitter.com/@71lbs, http://crunchbase.com/organization/71lbs;Analyze and Save on Shipping Costs
7 Chord;http://7-chord.com, https://twitter.com/@7chordbd, http://crunchbase.com/organization/7-chord;Machine Learning for credit trading
8base;http://8base.com, https://twitter.com/@8base, http://crunchbase.com/organization/8base-2;A low-code Backend-as-a-Service for SaaS and other market-facing applications.
AAZZUR;http://aazzur.com, https://twitter.com/@Aazzur_, http://crunchbase.com/organization/aazzur;banking | borderless by motivation
ABBY by GOGOTECH;http://gogotech.co, https://twitter.com/@ABBY_Gogotech, http://crunchbase.com/organization/abby-by-gogotech;ABBY is a new smart wheelchair platform for adults with reduced mobility - Loaded with advanced features & easy to purchase online, with financing available.
Abe AI;http://abe.ai, https://twitter.com/@abethebot, http://crunchbase.com/organization/abe-ai;Abe's conversational AI platform, Conversate, allows banks to communicate and engage customers through message and voice platforms.
Accelerate3D;http://accelerate3d.com, https://twitter.com/@accelerate3d, http://crunchbase.com/organization/accelerate3d;Providing 3D printing services using a proprietary new machine design allowing parts to be printed in a fraction of the time of current competing FDM machines.
Accelerate Wind;http://acceleratewind.com, http://crunchbase.com/organization/accelerate-wind;Accelerate Wind is making wind energy generation affordable on commercial buildings.
AccelGolf;http://accelgolf.com, https://twitter.com/@accelgolf, http://crunchbase.com/organization/accelgolf;Golf improvement analytics
Acclinate;http://acclinategenetics.com, https://twitter.com/@accgenetics;Trusted digital health company sourcing diverse participants for clinical trials.
Accountable;http://accountablehq.com, https://twitter.com/@accountable_hq, http://crunchbase.com/organization/accountable-9fea;HIPAA compliance made easy
Accountancy Cloud;http://theaccountancycloud.com, https://twitter.com/@theacloud, http://crunchbase.com/organization/the-accountancy-cloud;Accountancy Cloud provides smart finance software that solves accounting for small-to-mid sized businesses.
Acculis;http://acculistech.com, https://twitter.com/@AcculisTech, http://crunchbase.com/organization/acculis;Using 3D models to help reduce errors in construction in the office and on-site
Acerta;http://acerta.ca, https://twitter.com/@AcertaAnalytics, http://crunchbase.com/organization/acerta;Enterprise platform that uses machine learning to detect anomalies and predict failures in real time for vehicles coming off the assembly line or being driven.
